,date_open,number_of_patients,join_parent_date,left_parent_date,items,nic,act.cost,quantity,bnf.chapter,bnf.section,bnf.paragraph,ccg_code1,high_level_health_geography1,commissioner1,sha1,bnf.name1,ABINGDON  OXFORDSHIRE,ALENCON LINK  BASINGSTOKE,BARLBOROUGH  CHESTERFIELD,BEDFORDSHIRE,BERKSHIRE,BEVERLEY,BIRMINGHAM,BRADFORD,BRISTOL,BROOKLANDS  MILTON KEYNES,BROWNHILLS,BUCKINGHAMSHIRE,CAMBRIDGESHIRE,CHESHIRE,CHESTER  CHESHIRE,CLEVELAND,CO.DURHAM,COLCHESTER ESSEX,CORNWALL,COUNTY DURHAM,COVENTRY,CUMBRIA,DERBY,DERBYSHIRE,DEVIZES  WILTSHIRE,DEVON,DONCASTER,DORSET,DOVER  KENT,EAST SUSSEX,EAST YORKSHIRE,ENFIELD  MIDDLESEX,ESSEX,GLOUCESTER,GLOUCESTERSHIRE,GREAT BARR BIRMINGHAM,HAMPSHIRE,HARTLEPOOL CLEVELAND,HEREFORDSHIRE,HERTFORDSHIRE,HUDDERSFIELD,HUNTINGDON CAMBRIDGESHIRE,ILFORD  ESSEX,ISLE OF WIGHT,KENT,KINGSTON UPON HULL,LANCASHIRE,LEEDS,LEICESTERSHIRE,LINCOLNSHIRE,LIVERPOOL,LONDON,MACCLESFIELD  CHESHIRE,MAIDSTONE  KENT,MANCHESTER,MERSEYSIDE,MIDDLESEX,NORFOLK,NORTH EAST LINCOLNSHIRE,NORTH LINCOLNSHIRE,NORTH SOMERSET,NORTH YORKSHIRE,NORTHAMPTON,NORTHAMPTONSHIRE,NORTHUMBERLAND,NORWICH,NOTTINGHAM,NOTTINGHAMSHIRE,OXFORDSHIRE,PERSHORE  WORCESTERSHIRE,PRESTON,ROTHERHAM,SHAW  OLDHAM,SHERBURN-IN-ELMET,SHREWSBURY  SHROPSHIRE,SHROPSHIRE,SNEINTON  NOTTINGHAM,SOMERSET,SOUTH HUMBERSIDE,SOUTH YORKSHIRE,SOUTHAMPTON  HAMPSHIRE,STAFFORDSHIRE,STOCKPORT CHESHIRE,SUFFOLK,SURREY,TYNE & WEAR,TYNE AND WEAR,UCKFIELD,WADEBRIDGE CORNWALL,WARWICKSHIRE,WEST BYFLEET  SURREY,WEST MIDLANDS,WEST SUSSEX,WEST YORKSHIRE,WIGAN,WIGAN  LANCASHIRE,WILTSHIRE,WIRRAL,WOOLSTON  SOUTHAMPTON,WORCESTERSHIRE,YORK,Y56,Y58,Y59,Y60,Y61,Y62,Y63
10,19740401.0,7391.0,20010401.0,20060930.0,28.0,115.56,3.63,20.0,2,4,0,95,7,95,24,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,19740401.0,7391.0,20061001.0,20130331.0,28.0,115.56,3.63,20.0,2,4,0,95,7,95,24,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,19740401.0,7391.0,19990401.0,20010331.0,28.0,115.56,3.63,20.0,2,4,0,95,7,95,24,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,19740401.0,7391.0,20130401.0,,28.0,115.56,3.63,20.0,2,4,0,95,7,95,24,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,19740401.0,6591.0,19990401.0,20010331.0,9.0,26.35,16.74,560.0,7,3,2,178,7,178,19,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,19740401.0,6591.0,20130401.0,,9.0,26.35,16.74,560.0,7,3,2,178,7,178,19,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,19740401.0,6591.0,20061001.0,20130331.0,9.0,26.35,16.74,560.0,7,3,2,178,7,178,19,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,19740401.0,6591.0,20010401.0,20060930.0,9.0,26.35,16.74,560.0,7,3,2,178,7,178,19,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,19740401.0,10699.0,20061001.0,20130331.0,3.0,18.6,12.38,5187.0,1,7,4,94,7,94,14,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,19740401.0,10699.0,20130401.0,,3.0,18.6,12.38,5187.0,1,7,4,94,7,94,14,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
